Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_285_2577,VPWR,li1,1191.8600,786.0800,1.800000
FILLER_285_2573,VPWR,li1,1189.7900,786.0800,1.800000
FILLER_285_2561,VPWR,li1,1186.3400,786.0800,1.800000
FILLER_285_2549,VPWR,li1,1180.8200,786.0800,1.800000
FILLER_285_2545,VPWR,li1,1176.9100,786.0800,1.800000
FILLER_285_2533,VPWR,li1,1173.4600,786.0800,1.800000
FILLER_285_2521,VPWR,li1,1167.9400,786.0800,1.800000
FILLER_285_2517,VPWR,li1,1164.0300,786.0800,1.800000
FILLER_285_2505,VPWR,li1,1160.5800,786.0800,1.800000
FILLER_285_2493,VPWR,li1,1155.0600,786.0800,1.800000
FILLER_285_2489,VPWR,li1,1151.1500,786.0800,1.800000
FILLER_285_2477,VPWR,li1,1147.7000,786.0800,1.800000
FILLER_285_2465,VPWR,li1,1142.1800,786.0800,1.800000
FILLER_285_2461,VPWR,li1,1138.2700,786.0800,1.800000
FILLER_285_2449,VPWR,li1,1134.8200,786.0800,1.800000
FILLER_285_2437,VPWR,li1,1129.3000,786.0800,1.800000
FILLER_285_2433,VPWR,li1,1125.3900,786.0800,1.800000
FILLER_285_2421,VPWR,li1,1121.9400,786.0800,1.800000
FILLER_285_2409,VPWR,li1,1116.4200,786.0800,1.800000
FILLER_285_2405,VPWR,li1,1112.5100,786.0800,1.800000
FILLER_285_2393,VPWR,li1,1109.0600,786.0800,1.800000
FILLER_285_2381,VPWR,li1,1103.5400,786.0800,1.800000
FILLER_285_2377,VPWR,li1,1099.6300,786.0800,1.800000
FILLER_285_2365,VPWR,li1,1096.1800,786.0800,1.800000
FILLER_285_2353,VPWR,li1,1090.6600,786.0800,1.800000
FILLER_285_2349,VPWR,li1,1086.7500,786.0800,1.800000
FILLER_285_2337,VPWR,li1,1083.3000,786.0800,1.800000
FILLER_285_2325,VPWR,li1,1077.7800,786.0800,1.800000
FILLER_285_2321,VPWR,li1,1073.8700,786.0800,1.800000
FILLER_285_2309,VPWR,li1,1070.4200,786.0800,1.800000
FILLER_285_2297,VPWR,li1,1064.9000,786.0800,1.800000
FILLER_285_2293,VPWR,li1,1060.9900,786.0800,1.800000
FILLER_285_2281,VPWR,li1,1057.5400,786.0800,1.800000
FILLER_285_2269,VPWR,li1,1052.0200,786.0800,1.800000
FILLER_285_2265,VPWR,li1,1048.1100,786.0800,1.800000
FILLER_285_2253,VPWR,li1,1044.6600,786.0800,1.800000
FILLER_285_2241,VPWR,li1,1039.1400,786.0800,1.800000
FILLER_285_2237,VPWR,li1,1035.2300,786.0800,1.800000
FILLER_285_2225,VPWR,li1,1031.7800,786.0800,1.800000
FILLER_285_2213,VPWR,li1,1026.2600,786.0800,1.800000
FILLER_285_2209,VPWR,li1,1022.3500,786.0800,1.800000
FILLER_285_2197,VPWR,li1,1018.9000,786.0800,1.800000
FILLER_285_2185,VPWR,li1,1013.3800,786.0800,1.800000
FILLER_285_2181,VPWR,li1,1009.4700,786.0800,1.800000
FILLER_285_2169,VPWR,li1,1006.0200,786.0800,1.800000
FILLER_285_2157,VPWR,li1,1000.5000,786.0800,1.800000
FILLER_285_2153,VPWR,li1,996.5900,786.0800,1.800000
FILLER_285_2141,VPWR,li1,993.1400,786.0800,1.800000
FILLER_285_2129,VPWR,li1,987.6200,786.0800,1.800000
FILLER_285_2125,VPWR,li1,983.7100,786.0800,1.800000
FILLER_285_2113,VPWR,li1,980.2600,786.0800,1.800000
FILLER_285_2101,VPWR,li1,974.7400,786.0800,1.800000
FILLER_285_2097,VPWR,li1,970.8300,786.0800,1.800000
FILLER_285_2085,VPWR,li1,967.3800,786.0800,1.800000
FILLER_285_2073,VPWR,li1,961.8600,786.0800,1.800000
FILLER_285_2069,VPWR,li1,957.9500,786.0800,1.800000
FILLER_285_2057,VPWR,li1,954.5000,786.0800,1.800000
FILLER_285_2045,VPWR,li1,948.9800,786.0800,1.800000
FILLER_285_2041,VPWR,li1,945.0700,786.0800,1.800000
FILLER_285_2029,VPWR,li1,941.6200,786.0800,1.800000
FILLER_285_2017,VPWR,li1,936.1000,786.0800,1.800000
FILLER_285_2013,VPWR,li1,932.1900,786.0800,1.800000
FILLER_285_2001,VPWR,li1,928.7400,786.0800,1.800000
FILLER_285_1989,VPWR,li1,923.2200,786.0800,1.800000
FILLER_285_1985,VPWR,li1,919.3100,786.0800,1.800000
FILLER_285_1973,VPWR,li1,915.8600,786.0800,1.800000
FILLER_285_1961,VPWR,li1,910.3400,786.0800,1.800000
FILLER_285_1957,VPWR,li1,906.4300,786.0800,1.800000
FILLER_285_1945,VPWR,li1,902.9800,786.0800,1.800000
FILLER_285_1933,VPWR,li1,897.4600,786.0800,1.800000
FILLER_285_1929,VPWR,li1,893.5500,786.0800,1.800000
FILLER_285_1917,VPWR,li1,890.1000,786.0800,1.800000
FILLER_285_1905,VPWR,li1,884.5800,786.0800,1.800000
FILLER_285_1901,VPWR,li1,880.6700,786.0800,1.800000
FILLER_285_1889,VPWR,li1,877.2200,786.0800,1.800000
FILLER_285_1877,VPWR,li1,871.7000,786.0800,1.800000
FILLER_285_1873,VPWR,li1,867.7900,786.0800,1.800000
FILLER_285_1861,VPWR,li1,864.3400,786.0800,1.800000
FILLER_285_1849,VPWR,li1,858.8200,786.0800,1.800000
FILLER_285_1845,VPWR,li1,854.9100,786.0800,1.800000
FILLER_285_1833,VPWR,li1,851.4600,786.0800,1.800000
FILLER_285_1821,VPWR,li1,845.9400,786.0800,1.800000
FILLER_285_1817,VPWR,li1,842.0300,786.0800,1.800000
FILLER_285_1805,VPWR,li1,838.5800,786.0800,1.800000
FILLER_285_1793,VPWR,li1,833.0600,786.0800,1.800000
FILLER_285_1789,VPWR,li1,829.1500,786.0800,1.800000
FILLER_285_1777,VPWR,li1,825.7000,786.0800,1.800000
FILLER_285_1765,VPWR,li1,820.1800,786.0800,1.800000
FILLER_285_1761,VPWR,li1,816.2700,786.0800,1.800000
FILLER_285_1749,VPWR,li1,812.8200,786.0800,1.800000
FILLER_285_1737,VPWR,li1,807.3000,786.0800,1.800000
FILLER_285_1733,VPWR,li1,803.3900,786.0800,1.800000
FILLER_285_1721,VPWR,li1,799.9400,786.0800,1.800000
FILLER_285_1709,VPWR,li1,794.4200,786.0800,1.800000
FILLER_285_1705,VPWR,li1,790.5100,786.0800,1.800000
FILLER_285_1693,VPWR,li1,787.0600,786.0800,1.800000
FILLER_285_1681,VPWR,li1,781.5400,786.0800,1.800000
FILLER_285_1677,VPWR,li1,777.6300,786.0800,1.800000
FILLER_285_1665,VPWR,li1,774.1800,786.0800,1.800000
FILLER_285_1653,VPWR,li1,768.6600,786.0800,1.800000
FILLER_285_1649,VPWR,li1,764.7500,786.0800,1.800000
FILLER_285_1637,VPWR,li1,761.3000,786.0800,1.800000
FILLER_285_1625,VPWR,li1,755.7800,786.0800,1.800000
