Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_285_1677,VGND,li1,777.6300,788.8000,0.000000
FILLER_285_1665,VGND,li1,774.1800,788.8000,0.000000
FILLER_285_1653,VGND,li1,768.6600,788.8000,0.000000
FILLER_285_1649,VGND,li1,764.7500,788.8000,0.000000
FILLER_285_1637,VGND,li1,761.3000,788.8000,0.000000
FILLER_285_1625,VGND,li1,755.7800,788.8000,0.000000
FILLER_285_1621,VGND,li1,751.8700,788.8000,0.000000
FILLER_285_1609,VGND,li1,748.4200,788.8000,0.000000
FILLER_285_1597,VGND,li1,742.9000,788.8000,0.000000
FILLER_285_1593,VGND,li1,738.9900,788.8000,0.000000
FILLER_285_1581,VGND,li1,735.5400,788.8000,0.000000
FILLER_285_1569,VGND,li1,730.0200,788.8000,0.000000
FILLER_285_1565,VGND,li1,726.1100,788.8000,0.000000
FILLER_285_1553,VGND,li1,722.6600,788.8000,0.000000
FILLER_285_1541,VGND,li1,717.1400,788.8000,0.000000
FILLER_285_1537,VGND,li1,713.2300,788.8000,0.000000
FILLER_285_1525,VGND,li1,709.7800,788.8000,0.000000
FILLER_285_1513,VGND,li1,704.2600,788.8000,0.000000
FILLER_285_1509,VGND,li1,700.3500,788.8000,0.000000
FILLER_285_1497,VGND,li1,696.9000,788.8000,0.000000
FILLER_285_1485,VGND,li1,691.3800,788.8000,0.000000
FILLER_285_1481,VGND,li1,687.4700,788.8000,0.000000
FILLER_285_1469,VGND,li1,684.0200,788.8000,0.000000
FILLER_285_1457,VGND,li1,678.5000,788.8000,0.000000
FILLER_285_1453,VGND,li1,674.5900,788.8000,0.000000
FILLER_285_1441,VGND,li1,671.1400,788.8000,0.000000
FILLER_285_1429,VGND,li1,665.6200,788.8000,0.000000
FILLER_285_1425,VGND,li1,661.7100,788.8000,0.000000
FILLER_285_1413,VGND,li1,658.2600,788.8000,0.000000
FILLER_285_1401,VGND,li1,652.7400,788.8000,0.000000
