net,length_um
clknet_2_3_0_clk,912.81µm
net120,699.5µm
clk,687.34µm
net118,656.52µm
clknet_2_0_0_clk,623.67µm
net113,609.64µm
net128,472.54µm
clknet_2_1_0_clk,466.825µm
net124,456.76µm
net110,441.94µm
net103,434.615µm
clknet_0_clk,409.54µm
net106,335.1µm
net99,275.86µm
net16,272.35µm
net81,268.68µm
net89,268.5µm
net84,268.26µm
net70,266.88µm
net69,266.12µm
net72,265.5µm
net86,265.36µm
net80,265.14µm
net79,265.12µm
net77,264.9µm
net91,264.9µm
net68,264.78µm
net82,264.66µm
net78,264.24µm
net87,264.2µm
net90,263.74µm
net92,263.66µm
net85,263.62µm
net71,263.275µm
net15,262.93µm
net73,262.48µm
net88,262.38µm
net95,262.1µm
net74,261.56µm
net98,261.22µm
net75,260.9µm
net97,260.76µm
net93,259.8µm
net96,259.52µm
net76,258.26µm
net94,258.14µm
net83,256.72µm
net111,239.99µm
net104,229.82µm
net123,220.23µm
net108,215.84µm
net127,213.11µm
net13,206.81µm
net12,203.795µm
net14,203.3µm
net11,203.175µm
net32,195.67µm
clknet_2_2_0_clk,190.95µm
net33,188.9µm
net133,188.28µm
net31,171.96µm
net29,171.58µm
net132,171.215µm
net101,170.3µm
net121,165.85µm
net30,164.86µm
sine_out_temp0\[0\],161.025µm
sine_out_temp1\[15\],157.245µm
sine_out_temp0\[1\],156.635µm
net27,155.81µm
net28,153.53µm
tcout\[8\],149.415µm
sine_out_temp1\[14\],148.285µm
sine_out_temp0\[2\],146.435µm
net57,146µm
net1,145.61µm
net58,142.595µm
sine_out_temp0\[3\],142.48µm
sine_out_temp0\[4\],142.21µm
_004_,141.26µm
sine_out_temp1\[13\],141.235µm
net26,139.8µm
_009_,137.805µm
sine_out_temp1\[11\],137.405µm
_006_,137.32µm
sine_out_temp1\[12\],137.025µm
_002_,136.785µm
_008_,136.66µm
_012_,136.52µm
_013_,135.56µm
_014_,135.48µm
net114,135.4µm
sine_out_temp0\[5\],135.285µm
net19,135.11µm
_010_,134.74µm
_015_,134.14µm
_000_,133.78µm
sine_out_temp0\[6\],133.625µm
sine_out_temp0\[7\],133.555µm
sine_out_temp1\[10\],133.135µm
_007_,132.88µm
net55,132.76µm
_001_,132.72µm
_005_,131.78µm
sine_out_temp0\[8\],131.445µm
_003_,130.28µm
_011_,129.7µm
sine_out_temp1\[9\],129.26µm
net7,129.26µm
net8,128.68µm
net117,128.35µm
net56,128.32µm
sine_out_temp1\[8\],127.52µm
net2,126.75µm
sine_out_temp1\[7\],126.295µm
net6,126.25µm
sine_out_temp1\[6\],125.505µm
sine_out_temp0\[9\],125.275µm
net64,124.16µm
net67,123.24µm
sine_out_temp0\[10\],122.34µm
sine_out_temp0\[11\],122.08µm
sine_out_temp1\[5\],121.185µm
net63,121.095µm
net66,120.3µm
net59,119.96µm
net60,119.96µm
net54,118.84µm
sine_out_temp1\[4\],118.675µm
net53,118.46µm
_056_,118.24µm
net62,118.16µm
sine_out_temp0\[12\],118.045µm
net51,117.7µm
net65,117.46µm
sine_out_temp1\[3\],115.325µm
sine_out_temp0\[13\],114.77µm
net5,111.91µm
net52,111.76µm
net131,111.34µm
net61,110.88µm
sine_out_temp1\[2\],109.76µm
sine_out_temp0\[14\],106.915µm
net3,106.255µm
_052_,102.46µm
net4,101.975µm
sine_out_temp1\[1\],99.26µm
sine_out_temp0\[15\],98.535µm
net107,97.03µm
sine_out_temp1\[0\],90.64µm
net100,85.66µm
net18,72.255µm
_057_,70.5µm
tcout\[1\],62.92µm
net102,57.72µm
net126,55.12µm
net122,54.57µm
tcout\[2\],54.44µm
tcout\[0\],54.3µm
net109,52.575µm
net105,50.385µm
net37,49.83µm
net17,44.405µm
tcout\[3\],42.44µm
net45,39.31µm
net23,39.27µm
net41,39.15µm
net10,38.95µm
net9,38.86µm
net50,38.56µm
net40,38.29µm
net22,38.1µm
net44,38.1µm
net48,37.97µm
net49,37.91µm
net36,37.73µm
net39,37.73µm
net21,37.66µm
net25,37.64µm
net47,37.64µm
net24,37.62µm
net43,37.62µm
net46,37.58µm
net42,37.52µm
net20,37.48µm
net34,37.38µm
net35,37.27µm
net38,37.27µm
_050_,37.06µm
net115,32.96µm
tcout\[5\],26.4µm
tcout\[4\],22.34µm
tcout\[7\],21.58µm
tcout\[6\],20.38µm
_051_,19.28µm
net119,17.93µm
_054_,17.695µm
_018_,15.92µm
net125,15.54µm
_024_,15.34µm
net134,13.68µm
net135,13.52µm
_055_,13.515µm
_053_,13.38µm
_034_,13.31µm
net116,13.31µm
_058_,13.26µm
net112,12.99µm
_043_,12.5µm
_016_,11.74µm
addr01[2],11.6µm
net129,11.24µm
addr01[6],11.22µm
addr01[7],11.22µm
addr00[5],11.15µm
_039_,10.91µm
addr00[6],10.47µm
_033_,10.32µm
_017_,10.26µm
addr01[3],10.22µm
_042_,9.93µm
addr01[0],9.64µm
addr01[1],9.64µm
csb01,9.64µm
din00[10],9.64µm
din00[11],9.64µm
din00[12],9.64µm
din00[13],9.64µm
din01[11],9.64µm
din01[12],9.64µm
din01[13],9.64µm
din01[14],9.64µm
din01[15],9.64µm
din01[1],9.64µm
din01[2],9.64µm
din01[3],9.64µm
din01[4],9.64µm
din01[7],9.64µm
din01[8],9.64µm
din01[9],9.64µm
addr00[1],9.6µm
_023_,9.24µm
din00[0],9.07µm
din00[4],9.07µm
din00[5],8.97µm
addr01[4],8.84µm
addr01[5],8.84µm
_030_,8.75µm
din00[1],8.73µm
din00[14],8.72µm
din00[15],8.72µm
din00[9],8.72µm
din01[0],8.72µm
din01[10],8.72µm
din01[5],8.72µm
din01[6],8.72µm
rst,8.72µm
net130,8.52µm
din00[6],8.39µm
addr00[7],8.25µm
din00[7],8.05µm
sine_out[0],8.04µm
sine_out[10],8.04µm
sine_out[11],8.04µm
sine_out[12],8.04µm
sine_out[13],8.04µm
sine_out[14],8.04µm
sine_out[15],8.04µm
sine_out[1],8.04µm
sine_out[2],8.04µm
sine_out[3],8.04µm
sine_out[4],8.04µm
sine_out[5],8.04µm
sine_out[6],8.04µm
sine_out[7],8.04µm
sine_out[8],8.04µm
sine_out[9],8.04µm
_035_,7.86µm
addr00[0],7.71µm
addr00[4],7.35µm
din00[2],7.03µm
din00[3],7.03µm
din00[8],7.03µm
csb00,7.01µm
_021_,6.84µm
_038_,6.41µm
_040_,6.41µm
addr00[2],5.97µm
addr00[3],5.97µm
_044_,5.45µm
_045_,5.45µm
_041_,5.1µm
_027_,4.61µm
_028_,3.9µm
_046_,3.61µm
net136,3.54µm
_020_,3.3µm
_049_,3.23µm
_036_,3.15µm
_019_,2.76µm
_047_,2.69µm
net137,2.3µm
_032_,2.23µm
_037_,2.23µm
_048_,2.23µm
_022_,2.18µm
_026_,2.16µm
_025_,2.04µm
_031_,1.75µm
_029_,1.36µm
