Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_229_253,VPWR,li1,124.6600,633.7600,1.800000
FILLER_229_249,VPWR,li1,120.7500,633.7600,1.800000
FILLER_229_237,VPWR,li1,117.3000,633.7600,1.800000
FILLER_229_225,VPWR,li1,111.7800,633.7600,1.800000
FILLER_229_221,VPWR,li1,107.8700,633.7600,1.800000
FILLER_229_209,VPWR,li1,104.4200,633.7600,1.800000
FILLER_229_197,VPWR,li1,98.9000,633.7600,1.800000
FILLER_229_193,VPWR,li1,94.9900,633.7600,1.800000
FILLER_229_181,VPWR,li1,91.5400,633.7600,1.800000
FILLER_229_169,VPWR,li1,86.0200,633.7600,1.800000
FILLER_229_165,VPWR,li1,82.1100,633.7600,1.800000
FILLER_229_153,VPWR,li1,78.6600,633.7600,1.800000
FILLER_229_141,VPWR,li1,73.1400,633.7600,1.800000
FILLER_229_137,VPWR,li1,69.2300,633.7600,1.800000
FILLER_229_125,VPWR,li1,65.7800,633.7600,1.800000
FILLER_229_113,VPWR,li1,60.2600,633.7600,1.800000
FILLER_229_109,VPWR,li1,56.3500,633.7600,1.800000
FILLER_229_97,VPWR,li1,52.9000,633.7600,1.800000
FILLER_229_85,VPWR,li1,47.3800,633.7600,1.800000
FILLER_229_81,VPWR,li1,43.4700,633.7600,1.800000
FILLER_229_69,VPWR,li1,40.0200,633.7600,1.800000
FILLER_229_57,VPWR,li1,34.5000,633.7600,1.800000
FILLER_229_53,VPWR,li1,30.5900,633.7600,1.800000
FILLER_229_41,VPWR,li1,27.1400,633.7600,1.800000
FILLER_229_29,VPWR,li1,21.6200,633.7600,1.800000
FILLER_229_27,VPWR,li1,18.1700,633.7600,1.800000
FILLER_229_15,VPWR,li1,15.1800,633.7600,1.800000
FILLER_229_3,VPWR,li1,9.6600,633.7600,1.800000
FILLER_228_1167,VPWR,li1,542.5700,633.7600,1.800000
FILLER_228_1161,VPWR,li1,540.9600,633.7600,1.800000
FILLER_228_1149,VPWR,li1,536.8200,633.7600,1.800000
FILLER_228_1145,VPWR,li1,532.9100,633.7600,1.800000
FILLER_228_1133,VPWR,li1,529.4600,633.7600,1.800000
FILLER_228_1121,VPWR,li1,523.9400,633.7600,1.800000
FILLER_228_1117,VPWR,li1,520.0300,633.7600,1.800000
FILLER_228_1105,VPWR,li1,516.5800,633.7600,1.800000
FILLER_228_1093,VPWR,li1,511.0600,633.7600,1.800000
FILLER_228_1089,VPWR,li1,507.1500,633.7600,1.800000
FILLER_228_1077,VPWR,li1,503.7000,633.7600,1.800000
FILLER_228_1065,VPWR,li1,498.1800,633.7600,1.800000
FILLER_228_1061,VPWR,li1,494.2700,633.7600,1.800000
FILLER_228_1049,VPWR,li1,490.8200,633.7600,1.800000
FILLER_228_1037,VPWR,li1,485.3000,633.7600,1.800000
FILLER_228_1032,VPWR,li1,481.1600,633.7600,1.800000
