net,length_um
clknet_1_0__leaf_clk,696.995µm
clk,527.29µm
clknet_1_1__leaf_clk,445.59µm
net56,432.28µm
clknet_0_clk,360.38µm
net45,175.685µm
net44,159.63µm
net52,152.76µm
net43,132.76µm
net53,132.64µm
_032_,132.155µm
_021_,108.05µm
net51,98.43µm
net54,82.08µm
tcout\[0\],64.62µm
sine_out_temp\[2\],60.335µm
sine_out_temp\[3\],57.01µm
tcout\[1\],55.3µm
sine_out_temp\[1\],54.745µm
sine_out_temp\[0\],54.495µm
net55,51.38µm
net5,44.61µm
net9,44.405µm
net3,44.155µm
net8,43.89µm
sine_out_temp\[4\],43.83µm
sine_out_temp\[5\],43.615µm
net7,43.55µm
net4,42.885µm
net6,42.23µm
sine_out_temp\[6\],41.025µm
sine_out_temp\[7\],40.275µm
net14,39.27µm
net24,38.99µm
net23,38.73µm
net18,38.56µm
net13,38.1µm
net17,38.1µm
net22,37.79µm
net20,37.77µm
net2,37.73µm
net21,37.73µm
net12,37.66µm
net16,37.64µm
net15,37.62µm
net10,37.5µm
net11,37.48µm
sine_out_temp\[8\],37.465µm
net19,37.46µm
net25,37.38µm
net1,37.27µm
net46,36.99µm
net26,32.78µm
net49,31.16µm
sine_out_temp\[10\],30.33µm
sine_out_temp\[9\],29.735µm
sine_out_temp\[11\],29.63µm
sine_out_temp\[12\],29.395µm
net47,28.62µm
net33,28.44µm
net32,27.94µm
sine_out_temp\[13\],27.64µm
_037_,26.32µm
_033_,25.28µm
net37,25.18µm
net42,25.18µm
_029_,24.88µm
_036_,24.22µm
sine_out_temp\[15\],23.845µm
net29,23.84µm
net27,23.48µm
net36,22.92µm
net38,22.92µm
net39,22.92µm
_030_,22.58µm
net48,22.55µm
_031_,22.49µm
_028_,22.27µm
net28,22µm
net30,21.54µm
net35,21.54µm
net40,21.54µm
net31,21.08µm
net34,21.08µm
net41,21.08µm
_010_,20.55µm
tcout\[3\],20.32µm
_026_,19.81µm
_008_,19.63µm
_027_,19.55µm
sine_out_temp\[14\],19.315µm
tcout\[4\],19.16µm
tcout\[5\],18.64µm
tcout\[2\],18.6µm
_011_,17.31µm
_013_,16.39µm
_006_,15.72µm
_001_,14.64µm
_009_,14.51µm
_024_,14.11µm
_025_,14.11µm
net57,13.68µm
_012_,13.41µm
_002_,13.28µm
tcout\[6\],12.7µm
_014_,12.65µm
_007_,12.42µm
_000_,12.36µm
_004_,11.24µm
_003_,10.9µm
_015_,10.62µm
net50,10.36µm
din0[0],9.64µm
din0[10],9.64µm
din0[11],9.64µm
din0[12],9.64µm
din0[13],9.64µm
din0[1],9.64µm
din0[2],9.64µm
din0[5],9.64µm
din0[6],9.64µm
din0[7],9.64µm
din0[8],9.64µm
net66,9.56µm
_016_,9.05µm
net59,8.86µm
addr0[0],8.72µm
addr0[1],8.72µm
din0[14],8.72µm
din0[15],8.72µm
din0[3],8.72µm
din0[4],8.72µm
din0[9],8.72µm
sine_out[0],8.04µm
sine_out[10],8.04µm
sine_out[11],8.04µm
sine_out[12],8.04µm
sine_out[13],8.04µm
sine_out[14],8.04µm
sine_out[15],8.04µm
sine_out[1],8.04µm
sine_out[2],8.04µm
sine_out[3],8.04µm
sine_out[4],8.04µm
sine_out[5],8.04µm
sine_out[6],8.04µm
sine_out[7],8.04µm
sine_out[8],8.04µm
sine_out[9],8.04µm
_005_,7.72µm
addr0[2],7.69µm
addr0[6],7.69µm
addr0[4],7.35µm
net58,7.18µm
csb0,7.01µm
_020_,6.48µm
addr0[3],6.33µm
_035_,6.26µm
net64,6.26µm
net60,6.14µm
addr0[5],5.99µm
_023_,5.95µm
net65,5.8µm
rst,5.77µm
tcout\[7\],5.68µm
_017_,5.44µm
addr0[7],5.31µm
_018_,5.1µm
net61,4.8µm
_034_,3.88µm
_019_,2.55µm
_038_,2.5µm
net62,2.5µm
net63,1.84µm
_022_,1.36µm
