net,length_um
net70,725.24µm
clknet_0_clk,723.96µm
net69,713.98µm
net68,693.04µm
net71,676.48µm
net82,655.88µm
net72,650.72µm
net81,645.78µm
net73,637.62µm
net80,622.44µm
net74,620.14µm
clk,594.05µm
net79,587.94µm
net75,581.72µm
net78,578.74µm
net76,569.54µm
net83,554.755µm
net77,546.295µm
clknet_2_2__leaf_clk,499.85µm
clknet_2_1__leaf_clk,494.55µm
net105,479.38µm
net102,460.8µm
net86,434.22µm
net91,419.89µm
net88,405.69µm
net112,377.16µm
clknet_2_3__leaf_clk,340.56µm
net100,297.92µm
net94,286.99µm
net98,277.97µm
net50,230.25µm
net41,229.13µm
net39,227.78µm
net38,222.06µm
net40,220.49µm
net48,213.83µm
net47,211.09µm
net37,208.34µm
net5,206.81µm
net4,202.655µm
net96,200µm
net84,195.71µm
net3,193.075µm
net36,192.23µm
net46,184.71µm
net49,184.16µm
net45,182.58µm
net43,182.3µm
net97,170.26µm
net99,169.22µm
net42,164.76µm
clknet_2_0__leaf_clk,159.92µm
net9,156.43µm
net44,152.65µm
net64,150.1µm
net2,148.73µm
net111,146.56µm
net1,144.03µm
net35,141.66µm
net62,139.26µm
net63,138.06µm
net10,135.35µm
net59,131.14µm
net65,130.46µm
net61,128.62µm
net60,126.5µm
net66,121.84µm
sine_out_temp0\[8\],121.425µm
sine_out_temp0\[7\],119.065µm
sine_out_temp0\[9\],115.825µm
sine_out_temp0\[11\],115.36µm
sine_out_temp0\[13\],112.62µm
net52,112.08µm
sine_out_temp0\[10\],111.78µm
_014_,111.5µm
sine_out_temp0\[12\],111.485µm
sine_out_temp0\[15\],109.725µm
sine_out_temp0\[14\],108.525µm
net53,108.34µm
net54,108.1µm
net67,106.42µm
net17,106.215µm
sine_out_temp0\[6\],105.675µm
_013_,105.125µm
sine_out_temp0\[4\],104.62µm
sine_out_temp0\[2\],104.465µm
_015_,103.585µm
sine_out_temp0\[5\],103.325µm
sine_out_temp0\[3\],102.98µm
net51,100.56µm
sine_out_temp0\[1\],99.515µm
net109,99.44µm
net55,97.96µm
net85,97.74µm
_002_,96.5µm
_001_,95.72µm
sine_out_temp0\[0\],95.225µm
net56,88.52µm
_011_,85.4µm
tcout\[8\],81.92µm
net90,78.68µm
net57,78.62µm
net58,78.46µm
_012_,78.04µm
_057_,77.52µm
_010_,76.88µm
_003_,75.08µm
_009_,74.86µm
_004_,73.58µm
net93,71.855µm
_008_,71.4µm
_006_,67.92µm
_005_,66.52µm
net87,66.31µm
net103,61.7µm
net108,58.98µm
net104,58.54µm
net107,57.25µm
net110,56.22µm
_007_,56.04µm
_052_,52.02µm
_042_,49.45µm
_000_,47.48µm
net7,45.09µm
net18,44.945µm
net8,44.41µm
net12,43.515µm
net13,43.49µm
net16,43.01µm
net11,42.645µm
_050_,42.54µm
net14,42.43µm
net6,42.23µm
net15,42.23µm
tcout\[5\],39.96µm
net23,39.27µm
net33,38.99µm
net32,38.73µm
net27,38.56µm
net22,38.1µm
net26,38.1µm
tcout\[4\],37.88µm
net31,37.79µm
net29,37.77µm
net30,37.73µm
net21,37.66µm
net25,37.64µm
net24,37.62µm
net19,37.5µm
net20,37.48µm
tcout\[7\],37.47µm
net28,37.46µm
net34,37.38µm
net89,36.22µm
_045_,35.97µm
net95,32.64µm
tcout\[3\],31.62µm
_047_,31.51µm
_044_,28.77µm
_043_,27.83µm
_046_,26.37µm
addr00[3],24.77µm
_024_,24.54µm
addr00[1],24.43µm
sine_out_temp1\[8\],23.815µm
tcout\[0\],23.6µm
_031_,23.5µm
sine_out_temp1\[7\],23.415µm
sine_out_temp1\[11\],23.13µm
sine_out_temp1\[9\],22.835µm
sine_out_temp1\[10\],22.67µm
_048_,22.35µm
net92,22.16µm
tcout\[1\],21.98µm
_054_,21.89µm
net101,21.66µm
sine_out_temp1\[12\],20.355µm
sine_out_temp1\[13\],19.45µm
csb00,19.15µm
tcout\[6\],19.1µm
_036_,18.27µm
_055_,17.7µm
_029_,17.65µm
sine_out_temp1\[14\],17.475µm
net106,17.12µm
sine_out_temp1\[4\],16.78µm
sine_out_temp1\[5\],16.32µm
sine_out_temp1\[6\],16.32µm
sine_out_temp1\[15\],16.035µm
_058_,15.98µm
sine_out_temp1\[3\],15.245µm
sine_out_temp1\[2\],15.185µm
net120,15µm
addr00[4],14.69µm
sine_out_temp1\[1\],14.665µm
_051_,14.3µm
sine_out_temp1\[0\],13.715µm
net113,13.68µm
_037_,13.09µm
_032_,12.96µm
addr00[0],12.65µm
net114,12.52µm
_026_,11.9µm
tcout\[2\],11.9µm
_018_,11.84µm
_053_,11.2µm
_028_,11.02µm
_035_,11.02µm
_049_,10.85µm
_039_,10.71µm
_034_,10.56µm
_030_,10.44µm
_016_,10.1µm
_027_,9.67µm
din00[0],9.64µm
din00[10],9.64µm
din00[11],9.64µm
din00[12],9.64µm
din00[13],9.64µm
din00[1],9.64µm
din00[2],9.64µm
din00[5],9.64µm
din00[6],9.64µm
din00[7],9.64µm
din00[8],9.64µm
_021_,9.18µm
din01[13],9.07µm
din01[8],9.07µm
din01[9],9.07µm
din00[14],8.72µm
din00[15],8.72µm
din00[3],8.72µm
din00[4],8.72µm
din00[9],8.72µm
_038_,8.61µm
din01[0],8.39µm
din01[2],8.39µm
din01[3],8.05µm
din01[14],7.71µm
din01[1],7.71µm
din01[5],7.71µm
addr00[6],7.69µm
csb01,7.35µm
rst,7.13µm
addr01[0],7.03µm
din01[10],7.03µm
din01[11],7.03µm
din01[12],7.03µm
din01[15],7.03µm
din01[6],7.03µm
din01[7],7.03µm
addr01[5],7.01µm
addr00[2],6.89µm
_025_,6.83µm
sine_out[12],6.77µm
din01[4],6.69µm
addr01[3],6.67µm
addr01[7],6.67µm
addr01[1],6.43µm
addr00[5],5.99µm
_033_,5.85µm
sine_out[15],5.75µm
sine_out[9],5.75µm
addr01[2],5.65µm
addr01[6],5.65µm
_040_,5.39µm
addr00[7],5.31µm
addr01[4],5.31µm
sine_out[1],5.29µm
sine_out[5],5.29µm
_017_,5.28µm
net116,5.26µm
sine_out[10],5.07µm
sine_out[11],5.07µm
sine_out[0],4.95µm
sine_out[7],4.73µm
sine_out[2],4.61µm
sine_out[3],4.61µm
sine_out[4],4.61µm
sine_out[6],4.61µm
sine_out[13],4.39µm
sine_out[14],4.39µm
sine_out[8],4.39µm
_022_,3.3µm
_020_,3.08µm
_041_,2.84µm
_019_,2.74µm
net115,2.64µm
net119,2.62µm
net117,2.585µm
_023_,2.3µm
_056_,1.84µm
net118,1.38µm
