net,length_um
net69,700.5µm
net72,694.74µm
net70,689.1µm
net71,678.74µm
net68,662.32µm
net81,650.66µm
net73,648.8µm
net82,647.44µm
net80,645.58µm
net75,624.86µm
net78,609.18µm
net74,596.4µm
net79,591.46µm
net114,584.81µm
net76,580.26µm
net83,566.735µm
clknet_0_clk,530.41µm
clk,528.68µm
net77,510.29µm
clknet_2_0__leaf_clk,448.75µm
clknet_2_3__leaf_clk,425.84µm
clknet_2_2__leaf_clk,319.41µm
net91,312.88µm
net113,304.66µm
net104,295.41µm
net108,292.89µm
clknet_2_1__leaf_clk,285.54µm
net86,285.22µm
net41,238.58µm
net103,234.74µm
net98,230.63µm
net50,229.52µm
net39,224.58µm
net90,221.04µm
net38,215.37µm
net40,213.61µm
net47,209.12µm
net49,207.55µm
net37,203.9µm
net84,202.06µm
net46,197.82µm
_057_,191.89µm
net36,190.15µm
net44,185.31µm
net48,178.2µm
net43,171.01µm
net94,163.79µm
net42,161.66µm
_052_,159.36µm
net64,157.58µm
net45,157.35µm
net88,151.06µm
net9,150.61µm
net63,144.67µm
net87,143.28µm
net54,139.02µm
net10,138.09µm
net60,136.12µm
net35,132.17µm
net61,131.78µm
net66,122.88µm
net107,120.08µm
net110,119.64µm
net59,119.48µm
net52,118.12µm
net53,116.23µm
net65,116.12µm
net67,113.64µm
_003_,112.98µm
_005_,112.68µm
_051_,111.76µm
net92,109.375µm
net95,108.6µm
net62,107.48µm
_058_,107.44µm
_011_,106.98µm
_010_,105.86µm
net102,104.36µm
net96,99.69µm
net56,98.58µm
sine_out_temp0\[7\],92.685µm
_015_,91.74µm
net55,89.3µm
net85,87.52µm
net58,86.78µm
_013_,84.62µm
_014_,82.065µm
net99,81.31µm
_054_,77.5µm
sine_out_temp0\[9\],75.915µm
_001_,74.7µm
_000_,74.16µm
_021_,74.16µm
sine_out_temp0\[15\],74.045µm
sine_out_temp0\[10\],73.91µm
_008_,73.2µm
sine_out_temp0\[8\],72.755µm
net57,70.94µm
sine_out_temp0\[3\],70.165µm
_002_,69.02µm
_004_,67.935µm
_012_,63.03µm
_050_,62.24µm
_055_,61.52µm
_007_,59.86µm
tcout\[2\],59.66µm
sine_out_temp0\[11\],56.77µm
net89,53.62µm
_017_,53.22µm
