net,length_um
net71,741.34µm
net70,727.08µm
net69,712.94µm
clknet_0_clk,680.12µm
net68,674.76µm
net72,656.7µm
net82,654.64µm
net81,651.42µm
net73,644.06µm
net80,623.48µm
clk,621.72µm
net74,618.98µm
net79,588.6µm
net75,581.26µm
net76,573.9µm
net78,570.92µm
net77,563.255µm
sine_out_temp1\[0\],554.57µm
clknet_2_2__leaf_clk,502.66µm
clknet_2_0__leaf_clk,484.83µm
net103,465.94µm
net105,457.72µm
net91,443.69µm
net85,416.68µm
net87,408.79µm
clknet_2_3__leaf_clk,385.66µm
net110,363.58µm
net100,295.22µm
net93,293.75µm
net98,282.17µm
net84,278.24µm
net41,232.45µm
net39,228.36µm
net50,225.11µm
net49,218.19µm
net40,215.67µm
net38,215µm
clknet_2_1__leaf_clk,208.32µm
net37,206.47µm
net96,202.84µm
net47,195.39µm
net36,190.85µm
net45,190.48µm
net46,189.54µm
net7,185.4µm
net8,179.22µm
net9,175.92µm
net48,175.75µm
net43,171.37µm
net99,170.45µm
net6,169.46µm
net97,169.3µm
net42,166.84µm
net5,161.57µm
net4,160.675µm
net3,157.715µm
net29,157.11µm
net28,154.38µm
net44,152.65µm
net35,149.88µm
net27,146.63µm
net63,142.18µm
net19,142.15µm
net26,140.46µm
net1,134.73µm
net60,133.46µm
net10,132.97µm
net62,132.82µm
net61,130.08µm
net65,128.64µm
net64,127.66µm
net2,126.75µm
net59,125.58µm
sine_out_temp0\[9\],124.505µm
sine_out_temp0\[8\],123.265µm
_012_,122.46µm
sine_out_temp0\[6\],121.295µm
net109,120.78µm
sine_out_temp0\[7\],118.725µm
_013_,114.66µm
net66,114.04µm
sine_out_temp0\[10\],112.7µm
net53,112.28µm
sine_out_temp0\[15\],111.855µm
sine_out_temp0\[12\],111.045µm
net54,110.34µm
sine_out_temp0\[11\],109.58µm
net52,108.34µm
sine_out_temp0\[14\],108.305µm
_014_,107.74µm
sine_out_temp0\[13\],107.18µm
net67,104.38µm
net83,102.96µm
sine_out_temp0\[2\],102.865µm
sine_out_temp0\[3\],100.94µm
sine_out_temp0\[4\],100.7µm
net108,100.28µm
sine_out_temp0\[0\],99.065µm
sine_out_temp0\[1\],98.915µm
_001_,98.455µm
sine_out_temp0\[5\],98.265µm
net51,98.26µm
_015_,97.38µm
net55,93.54µm
net56,91.68µm
net17,89.795µm
net57,84.4µm
_002_,83.72µm
_011_,80.6µm
_009_,78.8µm
_010_,77.72µm
_004_,74.74µm
_057_,74.18µm
_003_,74.065µm
_006_,72.48µm
net107,72.18µm
net89,70.2µm
_005_,69.58µm
_008_,69.22µm
net86,69.07µm
net58,66.08µm
_052_,64.26µm
_007_,62.54µm
net90,62.315µm
net102,60.87µm
net106,57.52µm
net104,55.02µm
_000_,53.84µm
_042_,45.53µm
net18,44.945µm
net12,43.515µm
net13,43.49µm
net16,43.01µm
net11,42.645µm
net14,42.43µm
net15,42.23µm
_050_,41.62µm
tcout\[6\],41.36µm
net23,39.27µm
net33,38.99µm
_045_,38.94µm
net32,38.73µm
net22,38.1µm
net31,37.79µm
net30,37.73µm
net21,37.66µm
net25,37.64µm
net24,37.62µm
net20,37.48µm
tcout\[7\],37.42µm
net34,37.38µm
tcout\[0\],37.36µm
tcout\[5\],37.3µm
_047_,36.65µm
_046_,33.52µm
_044_,33.03µm
tcout\[3\],30.12µm
_043_,29.37µm
tcout\[8\],27.26µm
sine_out_temp1\[6\],25.315µm
net101,24.38µm
sine_out_temp1\[7\],23.875µm
sine_out_temp1\[8\],23.355µm
sine_out_temp1\[9\],23.295µm
sine_out_temp1\[10\],22.67µm
_024_,22.38µm
_021_,20.72µm
sine_out_temp1\[11\],19.91µm
sine_out_temp1\[12\],19.895µm
tcout\[1\],19.86µm
tcout\[4\],19.82µm
_032_,19.52µm
net94,19.38µm
net88,19.02µm
